撟????????????迂,?孵?,??,鈭辣?潛?,"鈭斗銝剖?
?亦?","CCTV
????曉","CMS
?澆?鞈?","鈭斗銝剖?
?撌亙?畾?,鈭???",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6,30,9,21,??1????2.0,09:21,,,,,,,,10:21,60,A2,0,4,,,,,,,,1,"??2蝝?6/30,09:21?????怠?亙(蝯)2撠+1憭扯疏頠蕭???典+憭頠?鈭?,4鈭箏??瑕????祇?10:21?,靘?:",,,,,,,3,撠摰?撠摰?憭扯疏頠?,,,,,,,,,1,,,,,,,,,
2023,4,3,14,55,??1????2.0,14:55,,,,,,,,15:01,6,A3,0,0,,,,,,,,1,"??3蝝?4/03,14:55?????怠?亙(蝯)2撠餈賣?雿?批頠?鈭?,?∩犖??∪???5:01?,靘?:1??,,,,,,,2.0,撠摰?""",撠摰?,,,,,,,,,,1,,,,,,,,,,,,,,,
2023,2,6,13,0,??1????2.0,13:00,,,,,,,,13:33,33,A3,0,0,,,,,,,,1,"??3蝝?2/06,13:00?????怠?亙(蝯)2撠餈賣?雿憭?頠?鈭?,?∩犖??∪???3:33?,靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,30,9,21,??1????2.0,9:21,,,,,,,,10:21,60,A2,0.0,4.0,,,,,,,,1.0,??2蝝?6/30",09:21?????怠?亙(蝯)2撠+1憭扯疏頠蕭???典+憭頠?鈭?,4鈭箏??瑕????祇?10:21?,"靘?:""",,,,,,,3,撠摰?撠摰?憭扯疏頠?,,,,,,,,,1,,,,,,
2023,2,6,13,0,??1????2.0,13:00,,,,,,,,13:33,33,A3,0,0,,,,,,,,1,"??3蝝?2/06,13:00?????怠?亙(蝯)2撠餈賣?雿憭?頠?鈭?,?∩犖??∪???3:33?,靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,5,17,9,28,??1????2.0,9:28,,,,,,,,9:49,21,A3,0.0,0.0,,,,,,,,1.0,??3蝝?5/17",09:28?????怠?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???09:49?,靘?????,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,
2023,2,6,13,0,??1????2.0,13:00,,,,,,,,13:33,33,A3,0,0,,,,,,,,1,"??3蝝?2/06,13:00?????怠?亙(蝯)2撠餈賣?雿憭?頠?鈭?,?∩犖??∪???3:33?,靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,8,2,8,23,??1????3.0,8:23,,,,,,,,8:56,33,A3,0.0,0.0,,1.0,,,,,,,??3蝝?8/02",08:23????3K(蝯)1撠摰Ｘ??扯風甈??典蝺??????∩犖??∪???8:56?,靘?:1??,,,,,,,1,撠摰?,,,,,,,,,,,1,,,,,
2023,8,2,8,23,??1????3.0,08:23,,,,,,,,08:56,33,A3,0,0,,1,,,,,,,"??3蝝?8/02,08:23????3K(蝯)1撠摰Ｘ??扯風甈??典蝺??????∩犖??∪???8:56?,靘?:1??,,,,,,,1.0,撠摰?,,,,,,,,,,,1
2023,1,24,7,28,??1????3.7,7:28,,,,,,,,7:55,27,A3,0.0,0.0,,,,,,1.0,,,??3蝝?1/24",07:28????3.7K(蝯)?芸???霅瑟?,雿憭?,?∩犖?,?∪??? 07:55?,靘?:1??,,,,,,,1,撠摰?,,,,,,,,,,,1,,
2023,3,27,22,14,??1????4.9,22:14,,,,,,,,22:42,28,A3,0,0,,,,,,,1,,"??3蝝?3/27,22:14????4.9K(蝯)3撠????拐???雿憭楝???∩犖?瑚滿,?∪???22:42?,靘?1??,,,,,,,3.0,撠摰?撠摰?撠摰?,,,,,,,,,1
2023,2,2,7,31,??1????5.0,7:31,,,,,,,,7:38,7,A3,0.0,0.0,,,,,,,,1.0,??3蝝?2/02",07:31????憭扯蝟餌絞?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???07:38?,靘?????,,,,,,,2,撠摰?,撠摰?,,,,,,,,,,1,,,,
2023,6,4,20,21,??1????5.0,20:21,,,,,,,,20:26,5,A3,0,0,,,,,,,,1,"??3蝝?6/04,20:21????憭扯蝟餌絞?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???20:26?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,5,12,7,24,??1????5.0,7:24,,,,,,,,7:34,10,A3,0.0,0.0,,,,,,,,1.0,??3蝝?5/12",07:24????憭扯蝟餌絞?亙(蝯)2撠餈賣?雿??鈭?,?∩犖?瑚滿,?∪???07:34?,靘?1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,
2023,7,3,8,45,??1????5.0,08:45,,,,,,,,08:52,7,A3,0,0,,,,,,,,1,"??3蝝?7/03,08:45????憭扯蝟餌絞?亙(蝯)2撠?餈賣?鈭?,?∩犖?,?∪???08:52?,靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,5,12,7,24,??1????5.0,7:24,,,,,,,,7:34,10,A3,0.0,0.0,,,,,,,,1.0,??3蝝?5/12",07:24????憭扯蝟餌絞?亙(蝯)2撠餈賣?雿??鈭?,?∩犖?瑚滿,?∪???07:34?,靘?1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,
2023,4,16,16,58,??1????5.0,16:58,,,,,,,,17:06,8,A3,0,0,,,,,,,,1,"??3蝝?4/16,16:58????憭扯蝟餌絞?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???17:06?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,8,14,9,34,??1????5.0,9:34,,,,,,,,10:24,50,A3,0.0,0.0,,,,,,,,1.0,??3蝝?8/14",09:34????憭扯蝟餌絞?亙(蝯)1撠+1憭扯疏頠蕭???典??港????∩犖??∪???0:24?,靘?:1??,,,,,,,2,撠摰?憭扯疏頠?,,,,,,,,,,1,,,,,,
2023,2,2,7,31,??1????5.0,07:31,,,,,,,,07:38,7,A3,0,0,,,,,,,,1,"??3蝝?2/02,07:31????憭扯蝟餌絞?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???07:38?,靘?????,,,,,,,2.0,撠摰?""",撠摰?,,,,,,,,,,1,,,,,,,,,,,,,,,
2023,5,12,7,24,??1????5.0,07:24,,,,,,,,07:34,10,A3,0,0,,,,,,,,1,"??3蝝?5/12,07:24????憭扯蝟餌絞?亙(蝯)2撠餈賣?雿??鈭?,?∩犖?瑚滿,?∪???07:34?,靘?1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,4,20,21,??1????5.0,20:21,,,,,,,,20:26,5,A3,0.0,0.0,,,,,,,,1.0,??3蝝?6/04",20:21????憭扯蝟餌絞?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???20:26?,靘?????,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,
2023,5,22,8,49,??1????5.0,08:49,,,,,,,,08:51,2,A3,0,0,,,,,,,,1,"??3蝝?5/22,08:49????憭扯蝟餌絞?亙(蝯)2撠餈賣?雿?抒?頠?鈭?,?∩犖??1?祇?08:51?頠??圾銝?靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,28,9,8,??1????5.0,9:08,,,,,,,,9:33,25,A3,0.0,0.0,,,,,,,,1.0,??3蝝?6/28",09:08????憭扯蝟餌絞?亙(蝯)1撠疏+1憭扯疏餈賣?雿???抒?鈭?,?∩犖?瑚滿,?∪???09:33?,靘?1??,,,,,,,2,撠疏頠?憭扯疏頠?,,,,,,,,,,1,,,,
2023,8,14,9,34,??1????5.0,09:34,,,,,,,,10:24,50,A3,0,0,,,,,,,,1,"??3蝝?8/14,09:34????憭扯蝟餌絞?亙(蝯)1撠+1憭扯疏頠蕭???典??港????∩犖??∪???0:24?,靘?:1??,,,,,,,2.0,撠摰?憭扯疏頠?,,,,,,,,,,1
2023,2,2,7,31,??1????5.0,7:31,,,,,,,,7:38,7,A3,0.0,0.0,,,,,,,,1.0,??3蝝?2/02",07:31????憭扯蝟餌絞?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???07:38?,靘?????,,,,,,,2,撠摰?,撠摰?,,,,,,,,,,1,,,,
2023,6,6,8,55,??1????5.0,08:55,,,,,,,,09:17,22,A3,0,0,,,,,,,,1,"??3蝝?6/06,08:55????憭扯蝟餌絞?亙(蝯)2憭扯疏頠蕭???典?渲??????∩犖??∪???9:17?,靘?:??鈭箏",,,,,,,2,憭扯疏頠?,憭扯疏頠?,,,,,,,,,,1,,,,,,,
2023,3,18,19,16,??1????5.0,19:16,,,,,,,,19:25,9,A3,0,0,,,,,,,,1,"??3蝝?3/18,19:16????憭扯蝟餌絞?亙(蝯)1撠恥+1憭扯疏餈賣?鈭?,雿??,?∩犖?瑚滿,?∪???19:25?,靘?1??,,,,,,,2.0,憭扯疏頠?撠摰?,,,,,,,,,,1
2023,7,3,8,45,??1????5.0,8:45,,,,,,,,8:52,7,A3,0.0,0.0,,,,,,,,1.0,??3蝝?7/03",08:45????憭扯蝟餌絞?亙(蝯)2撠?餈賣?鈭?,?∩犖?,?∪???08:52?,靘?:1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,
2023,6,6,8,55,??1????5.0,08:55,,,,,,,,09:17,22,A3,0,0,,,,,,,,1,"??3蝝?6/06,08:55????憭扯蝟餌絞?亙(蝯)2憭扯疏頠蕭???典?渲??????∩犖??∪???9:17?,靘?:??鈭箏",,,,,,,2,憭扯疏頠?,憭扯疏頠?,,,,,,,,,,1,,,,,,,
2023,5,22,8,49,??1????5.0,08:49,,,,,,,,08:51,2,A3,0,0,,,,,,,,1,"??3蝝?5/22,08:49????憭扯蝟餌絞?亙(蝯)2撠餈賣?雿?抒?頠?鈭?,?∩犖??1?祇?08:51?頠??圾銝?靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,8,7,2,33,??1????5.0,2:33,,,,,,,,3:27,54,A2,0.0,1.0,,,,,,,,1.0,??2蝝?8/07",02:33????憭扯蝟餌絞?亙(蝯)?芸??芣?霅瑟?敺蕃?抵蕭???典蝺???1鈭箏????∪???,03:27?,,"靘?""",1,,,,,1,1,撠摰?,,,,,,,,,,,1,,,
2023,10,10,15,18,??1????5.0,15:18,,,,,,,,15:24,6,A3,0,0,,,,,,,,1,"??3蝝?0/10,15:18????憭扯蝟餌絞?亙(蝯)2撠恥餈賣?雿??憭?鈭?,?∩犖?,?∪???15:24?,靘?1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,3,29,9,11,??1????5.0,9:11,,,,,,,,9:22,11,A3,0.0,0.0,,,,,,,,1.0,??3蝝?3/29",09:11????憭扯蝟餌絞?亙(蝯)2撠?餈賣?,,?∩犖?,?∪???09:22?,靘?:1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,
2023,6,4,20,21,??1????5.0,20:21,,,,,,,,20:26,5,A3,0,0,,,,,,,,1,"??3蝝?6/04,20:21????憭扯蝟餌絞?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???20:26?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,5,22,8,49,??1????5.0,8:49,,,,,,,,8:51,2,A3,0.0,0.0,,,,,,,,1.0,??3蝝?5/22",08:49????憭扯蝟餌絞?亙(蝯)2撠餈賣?雿?抒?頠?鈭?,?∩犖??1?祇?08:51?頠??圾銝?靘?:1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,,
2023,1,1,15,30,??1????5.0,15:30,,,,,,,,15:34,4,A3,0,0,,,,,,,,1,"??3蝝?1/01,15:30????憭扯蝟餌絞?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???15:34?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,28,9,8,??1????5.0,9:08,,,,,,,,9:33,25,A3,0.0,0.0,,,,,,,,1.0,??3蝝?6/28",09:08????憭扯蝟餌絞?亙(蝯)1撠疏+1憭扯疏餈賣?雿???抒?鈭?,?∩犖?瑚滿,?∪???09:33?,靘?1??,,,,,,,2,撠疏頠?憭扯疏頠?,,,,,,,,,,1,,,,
2023,8,7,2,33,??1????5.0,02:33,,,,,,,,03:27,54,A2,0,1,,,,,,,,1,"??2蝝?8/07,02:33????憭扯蝟餌絞?亙(蝯)?芸??芣?霅瑟?敺蕃?抵蕭???典蝺???1鈭箏????∪???,03:27?,,靘?",1,,,,,1,1,撠摰?,,,,,,,,,,,1,,,,,,,
2023,3,30,7,18,??1????5.0,07:18,,,,,,,,07:23,5,A3,0,0,,,,,,,,1,"??3蝝?3/30,07:18????憭扯蝟餌絞?亙(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???07:23?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,9,30,21,45,??1????5.0,21:45,,,,,,,,21:51,6,A3,0.0,0.0,,,,,,,,1.0,??3蝝?9/30",21:45????憭扯蝟餌絞?亙(蝯)2憭扯疏頠??芸?餈賣?雿憭?鈭?,?∩犖?,?∪???21:51?,"靘?:CCTV""",,,,,,,3,憭扯疏頠?憭扯疏頠?撠摰?,,,,,,,,,1,,,,,
2023,1,10,7,37,??1????5.1,07:37,,,,,,,,07:45,8,A3,0,0,,,,,,1,,,"??3蝝?1/10,07:37????5.1K(蝯)雿憭?3撠恥頠蕭?????∩犖?瑚滿,?1K,07:45?,靘?:1??,,,,,,,3.0,撠摰?撠摰?撠摰?,,,,,,,,,1
2023,10,5,21,8,??1????5.7,21:08,,,,,,,,21:57,49,A2,0.0,1.0,,,,,,1.0,,,??3蝝?0/05",21:08????5.7K(蝯)3撠恥餈賣?雿憭?鈭?,1鈭箄??琿瑼Ｘ,?∪???21:57?,靘?1??,,,,,,,3,撠摰?撠摰?撠摰?,,,,,,,,,1,,,,,
2023,2,22,8,30,??1????6.0,08:30,,,,,,,,08:38,8,A3,0,0,,,,,,,,1,"??3蝝?2/22,08:30????鈭?箏(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???08:38?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,14,8,28,??1????6.0,8:28,,,,,,,,8:40,12,A3,0.0,0.0,,,,,,,,1.0,??3蝝?6/14",08:28????鈭?亙(蝯)2撠餈賣?雿憭頠?鈭?,?∩犖??∪???8:40?,靘?:1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,
2023,9,12,8,12,??1????6.0,08:12,,,,,,,,08:17,5,A3,0,0,,1,,,,,,,"??3蝝?9/12,08:12????6K(蝯)2撠?餈賣?雿?抒?鈭?,?∩犖?,?∪???08:17?,靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,2,10,3,36,??1????6.0,3:36,,,,,,,,4:51,75,A3,0.0,0.0,,,,,,,,1.0,??3蝝?2/10",03:36????鈭?亙(蝯)1撠摰Ｚ???霅瑟?雿憭??????∩犖??∪???4:51?,靘?:1??,,,,,,,1,撠摰?,,,,,,,,,,,1,,,,,
2023,10,25,19,53,??1????6.0,19:53,,,,,,,,00:35,282,A3,0,0,,,,,,,,1,"??2蝝?0/25,19:53????鈭?箏(蝯)鞎冽?頠蕃頠??∩犖?,?∩犖?,?∪???00:35?,靘?,:1??,1,,,,,,1.0,鞎冽?頠?,,,,,,,,,,,1
2023,1,23,18,12,??1????6.0,18:12,,,,,,,,18:19,7,A3,0.0,0.0,,1.0,,,,,,,??3蝝?1/23",18:12????6K(蝯)2撠?餈賣?,雿?抒?,?∩犖?,?1K,18:19?,靘?:1??,,,,,,,2,撠摰?,撠摰?,,,,,,,,,,1,
2023,2,10,3,36,??1????6.0,03:36,,,,,,,,04:51,75,A3,0,0,,,,,,,,1,"??3蝝?2/10,03:36????鈭?亙(蝯)1撠摰Ｚ???霅瑟?雿憭??????∩犖??∪???4:51?,靘?:1??,,,,,,,1.0,撠摰?,,,,,,,,,,,1
2023,2,22,8,30,??1????6.0,8:30,,,,,,,,8:38,8,A3,0.0,0.0,,,,,,,,1.0,??3蝝?2/22",08:30????鈭?箏(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???08:38?,靘?????,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,
2023,2,10,3,36,??1????6.0,03:36,,,,,,,,04:51,75,A3,0,0,,,,,,,,1,"??3蝝?2/10,03:36????鈭?亙(蝯)1撠摰Ｚ???霅瑟?雿憭??????∩犖??∪???4:51?,靘?:1??,,,,,,,1.0,撠摰?,,,,,,,,,,,1
2023,6,6,16,19,??1????6.0,16:19,,,,,,,,18:47,148,A3,0.0,0.0,,,,,,,,1.0,??2蝝?6/06",16:19????鈭?箏(蝯)1鞎冽?頠閬??典?渲??????∪??萇鈭箏???8:47?,靘?:1??,,,,,,,1,鞎冽?頠?,,,,,,,,,,,1,,,,,
2023,6,6,16,19,??1????6.0,16:19,,,,,,,,18:47,148,A3,0,0,,,,,,,,1,"??2蝝?6/06,16:19????鈭?箏(蝯)1鞎冽?頠閬??典?渲??????∪??萇鈭箏???8:47?,靘?:1??,,,,,,,1.0,鞎冽?頠?,,,,,,,,,,,1
2023,2,22,8,30,??1????6.0,8:30,,,,,,,,8:38,8,A3,0.0,0.0,,,,,,,,1.0,??3蝝?2/22",08:30????鈭?箏(蝯)2撠恥頠蕭?????∩犖?瑚滿,?∪???08:38?,靘?????,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,
2023,6,14,8,28,??1????6.0,08:28,,,,,,,,08:40,12,A3,0,0,,,,,,,,1,"??3蝝?6/14,08:28????鈭?亙(蝯)2撠餈賣?雿憭頠?鈭?,?∩犖??∪???8:40?,靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,6,16,19,??1????6.0,16:19,,,,,,,,18:47,148,A3,0.0,0.0,,,,,,,,1.0,??2蝝?6/06",16:19????鈭?箏(蝯)1鞎冽?頠閬??典?渲??????∪??萇鈭箏???8:47?,靘?:1??,,,,,,,1,鞎冽?頠?,,,,,,,,,,,1,,,,,
2023,6,26,7,35,??1????6.1,07:35,,,,,,,,07:39,4,A3,0,0,,,,1,,,,,"??3蝝?6/26,07:35????6.1K(蝯)雿銝剔?2撠恥頠蕭?????∩犖?瑚滿,?1K,07:39?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,26,7,35,??1????6.1,7:35,,,,,,,,7:39,4,A3,0.0,0.0,,,,1.0,,,,,??3蝝?6/26",07:35????6.1K(蝯)雿銝剔?2撠恥頠蕭?????∩犖?瑚滿,?1K,07:39?,靘?????,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,
2023,6,26,7,35,??1????6.1,07:35,,,,,,,,07:39,4,A3,0,0,,,,1,,,,,"??3蝝?6/26,07:35????6.1K(蝯)雿銝剔?2撠恥頠蕭?????∩犖?瑚滿,?1K,07:39?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,6,26,7,35,??1????6.1,7:35,,,,,,,,7:39,4,A3,0.0,0.0,,,,1.0,,,,,??3蝝?6/26",07:35????6.1K(蝯)雿銝剔?2撠恥頠蕭?????∩犖?瑚滿,?1K,07:39?,靘?????,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,
2023,6,26,7,35,??1????6.1,07:35,,,,,,,,07:39,4,A3,0,0,,,,1,,,,,"??3蝝?6/26,07:35????6.1K(蝯)雿銝剔?2撠恥頠蕭?????∩犖?瑚滿,?1K,07:39?,靘?????,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,8,7,7,48,??1????6.2,7:48,,,,,,,,7:55,7,A3,0.0,0.0,,,,,1.0,,,,??3蝝?8/07",07:48????6.2K(蝯)2撠餈賣?雿銝剖?蝺??????∩犖??1?祇?07:55?頠??圾銝?靘?:1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,,,
2023,8,7,7,48,??1????6.2,07:48,,,,,,,,07:55,7,A3,0,0,,,,,1,,,,"??3蝝?8/07,07:48????6.2K(蝯)2撠餈賣?雿銝剖?蝺??????∩犖??1?祇?07:55?頠??圾銝?靘?:1??,,,,,,,2.0,撠摰?撠摰?,,,,,,,,,,1
2023,7,23,21,20,??1????6.3,21:20,,,,,,,,21:31,11,A3,0.0,0.0,,1.0,,,,,,,??3蝝?7/23",21:20????6.3K(蝯)雿?抒?3撠恥頠蕭?????∩犖?瑚滿,?1k,21:31?,靘?:1??,,,,,,,3,撠摰?,撠摰?,撠摰?,,,,,,,,,1,,,
2023,7,23,21,20,??1????6.3,21:20,,,,,,,,21:31,11,A3,0,0,,1,,,,,,,"??3蝝?7/23,21:20????6.3K(蝯)雿?抒?3撠恥頠蕭?????∩犖?瑚滿,?1k,21:31?,靘?:1??,,,,,,,3.0,撠摰?""",撠摰?,撠摰?,,,,,,,,,1,,,,,,,,,,,,,,,
2023,5,10,7,29,??1????6.4,07:29,,,,,,,,07:37,8,A3,0,0,,,,,,1,,,"??3蝝?5/10,07:29????6.4K(蝯)雿憭?2撠疏+1撠恥頠蕭?????∩犖?瑚滿,?∪???07:37?,靘?????,,,,,,,3.0,撠疏頠?撠疏頠?撠摰?,,,,,,,,,1
2023,5,10,7,29,??1????6.4,7:29,,,,,,,,7:37,8,A3,0.0,0.0,,,,,,1.0,,,??3蝝?5/10",07:29????6.4K(蝯)雿憭?2撠疏+1撠恥頠蕭?????∩犖?瑚滿,?∪???07:37?,靘?????,,,,,,,3,撠疏頠?撠疏頠?撠摰?,,,,,,,,,1,,,,,,
2023,5,10,7,29,??1????6.4,07:29,,,,,,,,07:37,8,A3,0,0,,,,,,1,,,"??3蝝?5/10,07:29????6.4K(蝯)雿憭?2撠疏+1撠恥頠蕭?????∩犖?瑚滿,?∪???07:37?,靘?????,,,,,,,3.0,撠疏頠?撠疏頠?撠摰?,,,,,,,,,1
2023,4,28,7,35,??1????6.7,7:35,,,,,,,,7:38,3,A3,0.0,0.0,,1.0,,,,,,,??3蝝?4/28",07:35????6.7K(蝯)2撠餈賣?雿?抒?頠?鈭?,?∩犖??1?祇?07:38?頠??圾銝?靘?:1??,,,,,,,2,撠摰?撠摰?,,,,,,,,,,1,,,,,,
2023,4,5,15,25,??1????6.8,15:25,,,,,,,,15:30,5,A3,0,0,,1,,,,,,,"??3蝝?4/05,15:25????6.8K(蝯)2撠?餈賣?,雿?抒?,?∩犖?,?∪???15:30?,靘?:1??,,,,,,,2.0,撠摰?""",撠摰?,,,,,,,,,,1,,,,,,,,,,,,,,,
